400,0.028,0.028,0.3
404,0.0256,0.0312,0.348
408,0.0232,0.0356,0.399
412,0.0216,0.0396,0.449
416,0.0208,0.0434,0.498
420,0.02,0.049,0.55
424,0.0192,0.0538,0.598
428,0.0184,0.0586,0.643
432,0.0176,0.0646,0.6862
436,0.0168,0.0722,0.728
440,0.016,0.081,0.768
444,0.0144,0.0922,0.8016
448,0.0128,0.1058,0.828
452,0.0116,0.123,0.848
456,0.011,0.1452,0.8618
460,0.011,0.174,0.869
464,0.011,0.2044,0.8618
468,0.011,0.2354,0.848
472,0.011,0.267,0.83
476,0.0114,0.2996,0.808
480,0.013,0.334,0.78
484,0.0146,0.3708,0.74
488,0.0162,0.4106,0.697
492,0.0178,0.4586,0.649
496,0.0196,0.514,0.595
500,0.022,0.57,0.535
504,0.0268,0.634,0.459
508,0.0316,0.7106,0.395
512,0.0364,0.7858,0.3398
516,0.0412,0.8504,0.29
520,0.046,0.9,0.242
524,0.0484,0.9376,0.1924
528,0.0484,0.9662,0.1446
532,0.0468,0.9854,0.1038
536,0.0436,0.995,0.0748
540,0.038,0.995,0.062
544,0.0316,0.9774,0.0492
548,0.0294,0.9532,0.0388
552,0.0314,0.9244,0.0304
556,0.039,0.8912,0.0236
560,0.055,0.852,0.018
564,0.119,0.8104,0.014
568,0.216,0.761,0.0112
572,0.322,0.7074,0.0092
576,0.429,0.6498,0.0078
580,0.545,0.585,0.007
584,0.653,0.513,0.0046
588,0.755,0.441,0.0028
592,0.845,0.3706,0.0018
596,0.917,0.3032,0.0014
600,0.965,0.24,0.001
604,0.9826,0.1824,0.001
608,0.9924,0.138,0.001
612,0.9944,0.1064,0.001
616,0.9902,0.0848,0.001
620,0.983,0.068,0.001
624,0.975,0.0536,0.001
628,0.9658,0.0428,0.001
632,0.9558,0.0344,0.001
636,0.9446,0.0278,0.001
640,0.931,0.023,0.001
644,0.9174,0.0206,0.001
648,0.9014,0.0194,0.001
652,0.8838,0.0198,0.001
656,0.8646,0.0218,0.001
660,0.843,0.025,0.001
664,0.8222,0.0298,0.001
668,0.8002,0.0358,0.001
672,0.779,0.0418,0.001
676,0.7596,0.0476,0.001
680,0.742,0.054,0.001
684,0.726,0.0612,0.001
688,0.7118,0.0696,0.001
692,0.699,0.0792,0.001
696,0.688,0.0912,0.001
700,0.68,0.108,0.001
