Wavelength,Intensity
706.4,0.024
707.2,0.024
708,0.024
708.8,0.024
709.6,0.024
710.4,0.024
711.2,0.023
712.1,0.023
712.9,0.022
713.7,0.022
714.5,0.021
715.3,0.021
716.2,0.022
717,0.022
717.8,0.022
718.6,0.022
719.4,0.022
720.3,0.022
721.1,0.022
721.9,0.021
722.7,0.021
723.5,0.021
724.4,0.021
725.2,0.02
726,0.02
726.8,0.02
727.6,0.02
728.5,0.02
729.3,0.021
730.1,0.021
730.9,0.021
731.7,0.021
732.6,0.02
733.4,0.02
734.2,0.02
735,0.02
735.8,0.02
736.7,0.019
737.5,0.019
738.3,0.019
739.1,0.02
739.9,0.02
740.8,0.02
741.6,0.02
742.4,0.02
743.2,0.021
744,0.021
744.9,0.02
745.7,0.02
746.5,0.02
747.3,0.02
748.1,0.02
748.9,0.02
749.8,0.019
750.6,0.02
751.4,0.02
752.2,0.019
753,0.019
753.9,0.019
754.7,0.019
755.5,0.019
756.3,0.019
757.1,0.019
758,0.019
758.8,0.019
759.6,0.019
760.4,0.019
761.2,0.019
762.1,0.019
762.9,0.019
763.7,0.019
764.5,0.019
765.3,0.019
766.2,0.019
767,0.019
767.8,0.019
768.6,0.019
769.4,0.019
770.3,0.019
771.1,0.019
771.9,0.019
772.7,0.018
773.5,0.018
774.4,0.018
775.2,0.018
776,0.019
776.8,0.018
777.6,0.019
778.5,0.018
779.3,0.018
780.1,0.018
780.9,0.018
781.7,0.018
782.6,0.018
783.4,0.018
784.2,0.018
785,0.018
785.8,0.018
786.7,0.019
787.5,0.018
788.3,0.018
789.1,0.018
789.9,0.017
790.7,0.017
791.6,0.017
792.4,0.017
793.2,0.016
794,0.017
794.8,0.017
795.7,0.017
796.5,0.017
797.3,0.017
798.1,0.017
798.9,0.017
799.8,0.017
800.6,0.017
801.4,0.016
802.2,0.017
803,0.018
803.9,0.018
804.7,0.017
805.5,0.017
806.3,0.017
807.1,0.017
808,0.017
808.8,0.017
809.6,0.017
810.4,0.017
811.2,0.017
812.1,0.017
812.9,0.017
813.7,0.017
814.5,0.017
815.3,0.017
816.2,0.017
817,0.017
817.8,0.017
818.6,0.016
819.4,0.016
820.3,0.016
821.1,0.017
821.9,0.017
822.7,0.016
823.5,0.016
824.4,0.017
825.2,0.017
826,0.017
826.8,0.018
827.6,0.018
828.5,0.017
829.3,0.017
830.1,0.017
830.9,0.017
831.7,0.017
832.6,0.017
833.5,0.018
834.4,0.017
835.3,0.017
836.1,0.017
837,0.017
837.9,0.018
838.8,0.018
839.7,0.018
840.6,0.017
841.5,0.017
842.4,0.017
843.3,0.018
844.1,0.017
845,0.017
845.9,0.016
846.8,0.016
847.7,0.016
848.6,0.017
849.5,0.017
850.4,0.017
851.3,0.016
852.1,0.016
853,0.016
853.9,0.017
854.8,0.017
855.7,0.016
856.6,0.016
857.5,0.015
858.4,0.016
859.3,0.017
860.1,0.017
861,0.017
861.9,0.016
862.8,0.017
863.7,0.017
864.6,0.017
865.5,0.017
866.4,0.017
867.3,0.017
868.1,0.017
869,0.017
869.9,0.017
870.8,0.017
871.7,0.017
872.6,0.017
873.5,0.016
874.4,0.017
875.3,0.017
876.1,0.016
877,0.016
877.9,0.017
878.8,0.017
879.7,0.017
880.6,0.016
881.5,0.017
882.4,0.016
883.3,0.016
884.1,0.016
885,0.016
885.9,0.017
886.8,0.017
887.7,0.017
888.6,0.016
889.5,0.017
890.4,0.017
891.3,0.017
892.1,0.016
893,0.017
893.9,0.017
894.8,0.017
895.7,0.017
896.6,0.017
897.5,0.017
898.4,0.017
899.3,0.016
