Vernier Format 2,
187_a3.txt 7/28/119 3:10:43,
Run 1,
Wavelength,Intensity
W,I
nm,rel
,
641.2,0.02
642,0.02
642.7,0.021
643.4,0.021
644.2,0.021
644.9,0.02
645.7,0.02
646.4,0.02
647.2,0.02
647.9,0.02
648.7,0.02
649.4,0.02
650.2,0.021
650.9,0.02
651.7,0.02
652.4,0.02
653.2,0.02
653.9,0.021
654.7,0.021
655.4,0.021
656.2,0.02
656.9,0.02
657.7,0.02
658.4,0.019
659.1,0.019
659.9,0.019
660.6,0.019
661.4,0.019
662.1,0.02
662.9,0.019
663.6,0.019
664.4,0.019
665.1,0.019
665.9,0.02
666.6,0.019
667.4,0.018
668.1,0.019
668.9,0.019
669.7,0.019
670.4,0.019
671.2,0.019
672,0.019
672.7,0.019
673.5,0.018
674.2,0.019
675,0.019
675.8,0.019
676.5,0.019
677.3,0.018
678.1,0.018
678.8,0.018
679.6,0.018
680.4,0.018
681.1,0.019
681.9,0.019
682.7,0.018
683.4,0.018
684.2,0.018
685,0.018
685.7,0.018
686.5,0.018
687.2,0.018
688,0.018
688.8,0.018
689.5,0.018
690.3,0.018
691.1,0.018
691.8,0.017
692.6,0.017
693.4,0.017
694.1,0.017
694.9,0.017
695.7,0.017
696.4,0.017
697.2,0.017
698,0.017
698.7,0.017
699.5,0.017
700.2,0.017
701,0.017
701.8,0.017
702.5,0.017
703.3,0.017
704.1,0.016
704.8,0.017
705.6,0.016
706.4,0.017
707.2,0.017
708,0.016
708.8,0.016
709.6,0.017
710.4,0.017
711.2,0.018
712.1,0.018
712.9,0.018
713.7,0.017
714.5,0.016
715.3,0.015
716.2,0.016
717,0.016
717.8,0.016
718.6,0.016
719.4,0.016
720.3,0.016
721.1,0.016
721.9,0.016
722.7,0.017
723.5,0.016
724.4,0.016
725.2,0.016
726,0.016
726.8,0.016
727.6,0.016
728.5,0.015
729.3,0.015
730.1,0.016
730.9,0.017
731.7,0.017
732.6,0.017
733.4,0.016
734.2,0.017
735,0.017
735.8,0.016
736.7,0.016
737.5,0.015
738.3,0.016
739.1,0.016
739.9,0.016
740.8,0.016
741.6,0.016
742.4,0.016
743.2,0.016
744,0.017
744.9,0.017
745.7,0.017
746.5,0.016
747.3,0.016
748.1,0.016
748.9,0.016
749.8,0.016
750.6,0.016
751.4,0.016
752.2,0.016
753,0.016
753.9,0.016
754.7,0.016
755.5,0.016
756.3,0.016
757.1,0.016
758,0.016
758.8,0.016
759.6,0.016
760.4,0.016
761.2,0.016
762.1,0.016
762.9,0.015
763.7,0.016
764.5,0.016
765.3,0.016
766.2,0.016
767,0.016
767.8,0.016
768.6,0.016
769.4,0.016
770.3,0.015
771.1,0.015
771.9,0.015
772.7,0.016
773.5,0.015
774.4,0.016
775.2,0.015
776,0.015
776.8,0.015
777.6,0.016
778.5,0.016
779.3,0.016
780.1,0.016
780.9,0.016
781.7,0.015
782.6,0.016
783.4,0.016
784.2,0.016
785,0.016
785.8,0.016
786.7,0.016
787.5,0.017
788.3,0.016
789.1,0.016
789.9,0.016
790.7,0.016
791.6,0.016
792.4,0.016
793.2,0.016
794,0.015
794.8,0.015
795.7,0.015
796.5,0.015
797.3,0.015
798.1,0.016
798.9,0.016
799.8,0.015
800.6,0.015
801.4,0.016
802.2,0.015
803,0.015
803.9,0.015
804.7,0.016
805.5,0.015
806.3,0.015
807.1,0.015
808,0.015
808.8,0.016
809.6,0.016
810.4,0.016
811.2,0.016
812.1,0.015
812.9,0.015
813.7,0.015
814.5,0.015
815.3,0.015
816.2,0.016
817,0.016
817.8,0.016
818.6,0.015
819.4,0.015
820.3,0.015
821.1,0.015
821.9,0.016
822.7,0.015
823.5,0.015
824.4,0.016
825.2,0.016
826,0.016
826.8,0.016
827.6,0.016
828.5,0.015
829.3,0.015
830.1,0.015
830.9,0.016
831.7,0.015
832.6,0.016
833.5,0.016
834.4,0.016
835.3,0.016
836.1,0.016
837,0.016
837.9,0.016
838.8,0.016
839.7,0.016
840.6,0.016
841.5,0.016
842.4,0.016
843.3,0.016
844.1,0.015
845,0.015
845.9,0.015
846.8,0.015
847.7,0.015
848.6,0.015
849.5,0.015
850.4,0.015
851.3,0.015
852.1,0.015
853,0.015
853.9,0.016
854.8,0.015
855.7,0.015
856.6,0.015
857.5,0.015
858.4,0.015
859.3,0.015
860.1,0.015
861,0.015
861.9,0.015
862.8,0.015
863.7,0.015
864.6,0.016
865.5,0.016
866.4,0.016
867.3,0.015
868.1,0.016
869,0.016
869.9,0.016
870.8,0.016
871.7,0.016
872.6,0.016
873.5,0.016
874.4,0.016
875.3,0.016
876.1,0.015
877,0.014
877.9,0.015
878.8,0.016
879.7,0.016
880.6,0.016
881.5,0.015
882.4,0.016
883.3,0.016
884.1,0.016
885,0.016
885.9,0.016
886.8,0.016
887.7,0.015
888.6,0.015
889.5,0.015
890.4,0.015
891.3,0.015
892.1,0.015
893,0.015
893.9,0.015
894.8,0.015
895.7,0.015
896.6,0.015
897.5,0.015
898.4,0.015
899.3,0.015
Vernier Format 2,
187_a3.txt 7/28/119 3:11:0,
Run 7,
Wavelength,Intensity
W,I
nm,rel
,
380.5,0.016
381.3,0.016
382.2,0.015
383,0.015
383.9,0.015
384.7,0.015
385.6,0.016
386.4,0.016
387.3,0.016
388.1,0.016
388.9,0.016
389.8,0.016
390.6,0.015
391.5,0.015
392.3,0.015
393.2,0.016
394,0.016
394.9,0.017
395.7,0.016
396.6,0.016
397.4,0.015
398.3,0.016
399.1,0.015
400,0.015
400.8,0.016
401.6,0.016
402.5,0.016
403.3,0.016
404.2,0.015
405,0.015
405.9,0.016
406.7,0.017
407.6,0.017
408.4,0.017
409.3,0.016
410.1,0.016
411,0.016
411.8,0.016
412.7,0.016
413.5,0.016
414.3,0.017
415.2,0.017
416,0.018
416.9,0.018
417.7,0.018
418.6,0.018
419.4,0.018
420.3,0.018
421.1,0.017
422,0.017
422.8,0.017
423.7,0.018
424.5,0.018
425.4,0.017
426.2,0.017
427,0.018
427.9,0.019
428.7,0.019
429.6,0.019
430.4,0.019
431.3,0.02
432.1,0.02
433,0.02
433.8,0.02
434.7,0.02
435.5,0.02
436.4,0.02
437.2,0.02
438.1,0.02
438.9,0.02
439.7,0.02
440.6,0.019
441.4,0.02
442.3,0.02
443.1,0.02
444,0.02
444.8,0.02
445.7,0.019
446.5,0.02
447.4,0.019
448.2,0.019
449.1,0.019
449.9,0.02
450.7,0.02
451.6,0.019
452.4,0.02
453.3,0.02
454.1,0.02
455,0.019
455.8,0.019
456.7,0.019
457.5,0.019
458.4,0.019
459.2,0.018
460.1,0.018
460.9,0.018
461.8,0.018
462.6,0.018
463.4,0.018
464.3,0.018
465.1,0.018
466,0.017
466.8,0.017
467.7,0.017
468.5,0.019
469.4,0.018
470.2,0.019
471.1,0.018
471.9,0.018
472.8,0.017
473.6,0.017
474.5,0.017
475.3,0.017
476.1,0.017
477,0.018
477.8,0.017
478.7,0.017
479.5,0.017
480.4,0.017
481.2,0.016
482.1,0.016
482.9,0.016
483.8,0.017
484.6,0.017
485.5,0.016
486.3,0.016
487.2,0.017
488,0.017
488.8,0.018
489.7,0.018
490.5,0.018
491.4,0.017
492.2,0.017
493.1,0.017
493.9,0.018
494.8,0.018
495.6,0.018
496.5,0.018
497.3,0.017
498.2,0.017
499,0.017
499.9,0.018
500.7,0.019
501.5,0.019
502.4,0.018
503.2,0.018
504.1,0.019
504.9,0.019
505.8,0.019
506.6,0.019
507.5,0.019
508.3,0.019
509.2,0.019
510,0.019
510.9,0.02
511.7,0.02
512.5,0.02
513.3,0.02
514.1,0.02
514.9,0.02
515.7,0.02
516.5,0.02
517.3,0.02
518,0.019
518.8,0.019
519.6,0.019
520.4,0.019
521.2,0.02
522,0.02
522.8,0.02
523.6,0.02
524.3,0.02
525.1,0.019
525.9,0.019
526.7,0.019
527.5,0.02
528.3,0.02
529.1,0.019
529.9,0.019
530.6,0.019
531.4,0.019
532.2,0.019
533,0.019
533.8,0.02
534.6,0.02
535.4,0.02
536.2,0.02
536.9,0.02
537.7,0.02
538.5,0.02
539.3,0.019
540.1,0.02
540.9,0.019
541.7,0.019
542.5,0.019
543.2,0.02
544,0.02
544.8,0.019
545.6,0.019
546.4,0.019
547.2,0.019
548,0.019
548.8,0.02
549.5,0.02
550.3,0.02
551.1,0.021
551.9,0.02
552.7,0.02
553.5,0.019
554.3,0.02
555.1,0.02
555.8,0.02
556.6,0.02
557.4,0.019
558.2,0.019
559,0.02
559.8,0.019
560.6,0.019
561.4,0.019
562.1,0.019
562.9,0.019
563.7,0.019
564.5,0.019
565.3,0.018
566.1,0.019
566.9,0.019
567.7,0.019
568.4,0.019
569.2,0.02
570,0.019
570.8,0.019
571.6,0.019
572.4,0.019
573.2,0.019
574,0.019
574.7,0.018
575.5,0.019
576.3,0.019
577.1,0.019
577.9,0.019
578.7,0.019
579.5,0.02
580.3,0.02
581,0.02
581.8,0.02
582.6,0.02
583.4,0.02
584.2,0.019
585,0.02
585.8,0.02
586.6,0.02
587.3,0.02
588.1,0.021
588.9,0.021
589.6,0.021
590.4,0.021
591.1,0.021
591.9,0.021
592.6,0.021
593.4,0.021
594.1,0.021
594.9,0.021
595.6,0.022
596.3,0.022
597.1,0.022
597.8,0.023
598.6,0.023
599.3,0.023
600.1,0.022
600.8,0.022
601.6,0.022
602.3,0.022
603.1,0.023
603.8,0.023
604.6,0.024
605.3,0.024
606.1,0.023
606.8,0.022
607.6,0.023
608.3,0.023
609.1,0.024
609.8,0.023
610.6,0.023
611.3,0.023
612,0.023
612.8,0.023
613.5,0.023
614.3,0.023
615,0.023
615.8,0.023
616.5,0.022
617.3,0.023
618,0.023
618.8,0.023
619.5,0.022
620.3,0.021
621,0.021
621.8,0.021
622.5,0.021
623.3,0.021
624,0.021
624.8,0.021
625.5,0.021
626.3,0.022
627,0.021
627.7,0.021
628.5,0.021
629.2,0.02
630,0.02
630.7,0.02
631.5,0.021
632.2,0.02
633,0.021
633.7,0.02
634.5,0.021
635.2,0.02
636,0.021
636.7,0.021
637.5,0.021
638.2,0.021
639,0.02
639.7,0.02
640.5,0.02
641.2,0.02
642,0.02
642.7,0.02
643.4,0.02
644.2,0.019
644.9,0.019
645.7,0.019
646.4,0.02
647.2,0.02
647.9,0.02
648.7,0.02
649.4,0.02
650.2,0.02
650.9,0.02
651.7,0.019
652.4,0.02
653.2,0.02
653.9,0.02
654.7,0.02
655.4,0.02
656.2,0.019
656.9,0.02
657.7,0.02
658.4,0.02
659.1,0.019
659.9,0.019
660.6,0.019
661.4,0.019
662.1,0.019
662.9,0.019
663.6,0.018
664.4,0.018
665.1,0.018
665.9,0.019
666.6,0.019
667.4,0.019
668.1,0.018
668.9,0.018
669.7,0.018
670.4,0.019
671.2,0.019
672,0.019
672.7,0.019
673.5,0.018
674.2,0.018
675,0.018
675.8,0.019
676.5,0.018
677.3,0.018
678.1,0.018
678.8,0.017
679.6,0.017
680.4,0.017
681.1,0.018
681.9,0.018
682.7,0.018
683.4,0.018
684.2,0.018
685,0.017
685.7,0.017
686.5,0.017
687.2,0.017
688,0.018
688.8,0.017
689.5,0.017
690.3,0.017
691.1,0.017
691.8,0.017
692.6,0.017
693.4,0.017
694.1,0.017
694.9,0.017
695.7,0.017
696.4,0.017
697.2,0.017
698,0.017
698.7,0.017
699.5,0.017
700.2,0.016
701,0.016
701.8,0.015
702.5,0.016
703.3,0.017
704.1,0.016
704.8,0.016
705.6,0.016
706.4,0.017
707.2,0.017
708,0.017
708.8,0.017
709.6,0.017
710.4,0.017
711.2,0.016
712.1,0.017
712.9,0.016
713.7,0.016
714.5,0.015
715.3,0.016
716.2,0.016
717,0.016
717.8,0.017
718.6,0.016
719.4,0.016
720.3,0.016
721.1,0.017
721.9,0.016
722.7,0.016
723.5,0.015
724.4,0.015
725.2,0.015
726,0.015
726.8,0.016
727.6,0.016
728.5,0.016
729.3,0.016
730.1,0.016
730.9,0.016
731.7,0.016
732.6,0.016
733.4,0.016
734.2,0.016
735,0.016
735.8,0.015
736.7,0.015
737.5,0.016
738.3,0.017
739.1,0.016
739.9,0.016
740.8,0.016
741.6,0.016
742.4,0.016
743.2,0.016
744,0.016
744.9,0.016
745.7,0.015
746.5,0.016
747.3,0.016
748.1,0.015
748.9,0.015
749.8,0.015
750.6,0.016
751.4,0.016
752.2,0.017
753,0.016
753.9,0.016
754.7,0.015
755.5,0.016
756.3,0.016
757.1,0.016
758,0.015
758.8,0.016
759.6,0.015
760.4,0.016
761.2,0.015
762.1,0.016
762.9,0.016
763.7,0.016
764.5,0.016
765.3,0.016
766.2,0.015
767,0.015
767.8,0.014
768.6,0.015
769.4,0.015
770.3,0.016
771.1,0.015
771.9,0.015
772.7,0.014
773.5,0.015
774.4,0.015
775.2,0.015
776,0.015
776.8,0.015
777.6,0.016
778.5,0.016
779.3,0.016
780.1,0.016
780.9,0.016
781.7,0.016
782.6,0.015
783.4,0.015
784.2,0.015
785,0.015
785.8,0.015
786.7,0.016
787.5,0.016
788.3,0.016
789.1,0.016
789.9,0.015
790.7,0.015
791.6,0.015
792.4,0.015
793.2,0.015
794,0.015
794.8,0.016
795.7,0.015
796.5,0.015
797.3,0.015
798.1,0.015
798.9,0.015
799.8,0.015
800.6,0.016
801.4,0.016
802.2,0.016
803,0.016
803.9,0.016
804.7,0.016
805.5,0.015
806.3,0.015
807.1,0.015
808,0.016
808.8,0.015
809.6,0.015
810.4,0.015
811.2,0.015
812.1,0.015
812.9,0.015
813.7,0.015
814.5,0.015
815.3,0.015
816.2,0.016
817,0.016
817.8,0.016
818.6,0.016
819.4,0.016
820.3,0.016
821.1,0.016
821.9,0.016
822.7,0.016
823.5,0.016
824.4,0.015
825.2,0.016
826,0.016
826.8,0.016
827.6,0.016
828.5,0.016
829.3,0.015
830.1,0.015
830.9,0.015
831.7,0.015
832.6,0.016
833.5,0.016
834.4,0.016
835.3,0.016
836.1,0.016
837,0.017
837.9,0.017
838.8,0.017
839.7,0.016
840.6,0.015
841.5,0.016
842.4,0.015
843.3,0.016
844.1,0.015
845,0.015
845.9,0.016
846.8,0.016
847.7,0.016
848.6,0.016
849.5,0.016
850.4,0.016
851.3,0.015
852.1,0.015
853,0.015
853.9,0.015
854.8,0.015
855.7,0.015
856.6,0.015
857.5,0.015
858.4,0.016
859.3,0.015
860.1,0.015
861,0.015
861.9,0.015
862.8,0.015
863.7,0.015
864.6,0.016
865.5,0.015
866.4,0.016
867.3,0.015
868.1,0.016
869,0.016
869.9,0.016
870.8,0.016
871.7,0.016
872.6,0.015
873.5,0.015
874.4,0.015
875.3,0.015
876.1,0.015
877,0.015
877.9,0.015
878.8,0.015
879.7,0.015
880.6,0.015
881.5,0.015
882.4,0.015
883.3,0.014
884.1,0.014
885,0.014
885.9,0.015
886.8,0.015
887.7,0.016
888.6,0.015
889.5,0.016
890.4,0.015
891.3,0.015
892.1,0.015
893,0.015
893.9,0.016
894.8,0.016
895.7,0.016
896.6,0.015
897.5,0.015
898.4,0.015
899.3,0.015
Vernier Format 2,
187_a3.txt 7/28/119 3:11:0,
Run 8,
Wavelength,Intensity
W,I
nm,rel
,
380.5,0.015
381.3,0.015
382.2,0.015
383,0.016
383.9,0.016
384.7,0.016
385.6,0.016
386.4,0.016
387.3,0.016
388.1,0.016
388.9,0.016
389.8,0.016
390.6,0.016
391.5,0.016
392.3,0.015
393.2,0.016
394,0.016
394.9,0.016
395.7,0.016
396.6,0.016
397.4,0.016
398.3,0.016
399.1,0.015
400,0.016
400.8,0.016
401.6,0.016
402.5,0.016
403.3,0.016
404.2,0.016
405,0.015
405.9,0.016
406.7,0.016
407.6,0.016
408.4,0.016
409.3,0.015
410.1,0.015
411,0.016
411.8,0.017
412.7,0.017
413.5,0.016
414.3,0.016
415.2,0.016
416,0.017
416.9,0.016
417.7,0.017
418.6,0.017
419.4,0.017
420.3,0.017
421.1,0.017
422,0.017
422.8,0.017
423.7,0.018
424.5,0.018
425.4,0.018
426.2,0.018
427,0.018
427.9,0.018
428.7,0.019
429.6,0.019
430.4,0.019
431.3,0.019
432.1,0.019
433,0.019
433.8,0.019
434.7,0.019
435.5,0.019
436.4,0.02
437.2,0.02
438.1,0.02
438.9,0.019
439.7,0.019
440.6,0.019
441.4,0.019
442.3,0.019
443.1,0.02
444,0.019
444.8,0.02
445.7,0.019
446.5,0.019
447.4,0.019
448.2,0.019
449.1,0.019
449.9,0.019
450.7,0.019
451.6,0.019
452.4,0.019
453.3,0.019
454.1,0.019
455,0.018
455.8,0.019
456.7,0.019
457.5,0.019
458.4,0.019
459.2,0.019
460.1,0.018
460.9,0.018
461.8,0.018
462.6,0.017
463.4,0.017
464.3,0.017
465.1,0.018
466,0.017
466.8,0.017
467.7,0.017
468.5,0.017
469.4,0.017
470.2,0.017
471.1,0.017
471.9,0.017
472.8,0.017
473.6,0.017
474.5,0.017
475.3,0.016
476.1,0.017
477,0.017
477.8,0.017
478.7,0.017
479.5,0.017
480.4,0.017
481.2,0.017
482.1,0.017
482.9,0.017
483.8,0.018
484.6,0.017
485.5,0.017
486.3,0.017
487.2,0.017
488,0.017
488.8,0.017
489.7,0.018
490.5,0.018
491.4,0.018
492.2,0.018
493.1,0.018
493.9,0.018
494.8,0.018
495.6,0.018
496.5,0.018
497.3,0.019
498.2,0.019
499,0.019
499.9,0.019
500.7,0.019
501.5,0.02
502.4,0.02
503.2,0.02
504.1,0.02
504.9,0.02
505.8,0.02
506.6,0.02
507.5,0.021
508.3,0.021
509.2,0.021
510,0.021
510.9,0.022
511.7,0.021
512.5,0.021
513.3,0.021
514.1,0.022
514.9,0.023
515.7,0.023
516.5,0.023
517.3,0.022
518,0.022
518.8,0.022
519.6,0.022
520.4,0.022
521.2,0.022
522,0.022
522.8,0.022
523.6,0.023
524.3,0.023
525.1,0.022
525.9,0.022
526.7,0.022
527.5,0.023
528.3,0.023
529.1,0.022
529.9,0.022
530.6,0.022
531.4,0.022
532.2,0.022
533,0.022
533.8,0.022
534.6,0.022
535.4,0.021
536.2,0.022
536.9,0.022
537.7,0.022
538.5,0.021
539.3,0.021
540.1,0.021
540.9,0.022
541.7,0.022
542.5,0.022
543.2,0.022
544,0.022
544.8,0.023
545.6,0.023
546.4,0.023
547.2,0.023
548,0.023
548.8,0.023
549.5,0.023
550.3,0.023
551.1,0.023
551.9,0.023
552.7,0.022
553.5,0.022
554.3,0.023
555.1,0.023
555.8,0.023
556.6,0.022
557.4,0.022
558.2,0.022
559,0.022
559.8,0.022
560.6,0.021
561.4,0.021
562.1,0.022
562.9,0.022
563.7,0.022
564.5,0.022
565.3,0.022
566.1,0.022
566.9,0.022
567.7,0.021
568.4,0.022
569.2,0.022
570,0.022
570.8,0.021
571.6,0.021
572.4,0.021
573.2,0.021
574,0.021
574.7,0.021
575.5,0.022
576.3,0.022
577.1,0.022
577.9,0.022
578.7,0.021
579.5,0.021
580.3,0.022
581,0.021
581.8,0.022
582.6,0.021
583.4,0.021
584.2,0.021
585,0.022
585.8,0.021
586.6,0.022
587.3,0.021
588.1,0.022
588.9,0.023
589.6,0.023
590.4,0.023
591.1,0.023
591.9,0.023
592.6,0.023
593.4,0.023
594.1,0.023
594.9,0.024
595.6,0.024
596.3,0.024
597.1,0.023
597.8,0.024
598.6,0.024
599.3,0.025
600.1,0.025
600.8,0.025
601.6,0.025
602.3,0.025
603.1,0.025
603.8,0.024
604.6,0.025
605.3,0.025
606.1,0.026
606.8,0.025
607.6,0.026
608.3,0.025
609.1,0.025
609.8,0.024
610.6,0.025
611.3,0.025
612,0.025
612.8,0.025
613.5,0.024
614.3,0.025
615,0.025
615.8,0.025
616.5,0.024
617.3,0.023
618,0.023
618.8,0.023
619.5,0.023
620.3,0.023
621,0.023
621.8,0.023
622.5,0.023
623.3,0.023
624,0.023
624.8,0.022
625.5,0.022
626.3,0.022
627,0.022
627.7,0.022
628.5,0.022
629.2,0.022
630,0.022
630.7,0.022
631.5,0.022
632.2,0.021
633,0.022
633.7,0.022
634.5,0.022
635.2,0.022
636,0.022
636.7,0.021
637.5,0.021
638.2,0.021
639,0.022
639.7,0.022
640.5,0.021
641.2,0.021
642,0.021
642.7,0.021
643.4,0.021
644.2,0.021
644.9,0.021
645.7,0.021
646.4,0.021
647.2,0.021
647.9,0.021
648.7,0.02
649.4,0.021
650.2,0.021
650.9,0.021
651.7,0.021
652.4,0.021
653.2,0.021
653.9,0.021
654.7,0.021
655.4,0.02
656.2,0.02
656.9,0.02
657.7,0.02
658.4,0.02
659.1,0.019
659.9,0.02
660.6,0.02
661.4,0.021
662.1,0.02
662.9,0.02
663.6,0.019
664.4,0.019
665.1,0.019
665.9,0.019
666.6,0.019
667.4,0.019
668.1,0.019
668.9,0.019
669.7,0.019
670.4,0.019
671.2,0.019
672,0.019
672.7,0.018
673.5,0.018
674.2,0.018
675,0.019
675.8,0.019
676.5,0.019
677.3,0.018
678.1,0.018
678.8,0.018
679.6,0.019
680.4,0.018
681.1,0.018
681.9,0.019
682.7,0.018
683.4,0.019
684.2,0.018
685,0.018
685.7,0.018
686.5,0.018
687.2,0.017
688,0.017
688.8,0.017
689.5,0.018
690.3,0.018
691.1,0.018
691.8,0.018
692.6,0.017
693.4,0.017
694.1,0.017
694.9,0.017
695.7,0.018
696.4,0.018
697.2,0.017
698,0.017
698.7,0.016
699.5,0.017
700.2,0.017
701,0.017
701.8,0.017
702.5,0.017
703.3,0.017
704.1,0.016
704.8,0.016
705.6,0.015
706.4,0.016
707.2,0.017
708,0.016
708.8,0.016
709.6,0.016
710.4,0.016
711.2,0.016
712.1,0.016
712.9,0.016
713.7,0.016
714.5,0.016
715.3,0.017
716.2,0.016
717,0.016
717.8,0.017
718.6,0.017
719.4,0.017
720.3,0.016
721.1,0.017
721.9,0.017
722.7,0.016
723.5,0.016
724.4,0.015
725.2,0.015
726,0.015
726.8,0.015
727.6,0.016
728.5,0.016
729.3,0.016
730.1,0.016
730.9,0.016
731.7,0.015
732.6,0.015
733.4,0.015
734.2,0.016
735,0.017
735.8,0.016
736.7,0.016
737.5,0.016
738.3,0.015
739.1,0.016
739.9,0.016
740.8,0.016
741.6,0.015
742.4,0.016
743.2,0.016
744,0.017
744.9,0.016
745.7,0.016
746.5,0.016
747.3,0.016
748.1,0.017
748.9,0.017
749.8,0.016
750.6,0.015
751.4,0.015
752.2,0.015
753,0.016
753.9,0.016
754.7,0.016
755.5,0.015
756.3,0.015
757.1,0.015
758,0.016
758.8,0.016
759.6,0.016
760.4,0.016
761.2,0.015
762.1,0.015
762.9,0.015
763.7,0.016
764.5,0.016
765.3,0.016
766.2,0.016
767,0.016
767.8,0.017
768.6,0.017
769.4,0.016
770.3,0.015
771.1,0.015
771.9,0.015
772.7,0.015
773.5,0.015
774.4,0.015
775.2,0.015
776,0.015
776.8,0.016
777.6,0.017
778.5,0.016
779.3,0.016
780.1,0.016
780.9,0.016
781.7,0.015
782.6,0.015
783.4,0.015
784.2,0.015
785,0.015
785.8,0.015
786.7,0.016
787.5,0.016
788.3,0.016
789.1,0.016
789.9,0.015
790.7,0.016
791.6,0.016
792.4,0.016
793.2,0.016
794,0.016
794.8,0.016
795.7,0.015
796.5,0.015
797.3,0.015
798.1,0.015
798.9,0.015
799.8,0.015
800.6,0.016
801.4,0.016
802.2,0.015
803,0.015
803.9,0.016
804.7,0.015
805.5,0.015
806.3,0.015
807.1,0.015
808,0.015
808.8,0.016
809.6,0.016
810.4,0.016
811.2,0.016
812.1,0.016
812.9,0.016
813.7,0.016
814.5,0.016
815.3,0.015
816.2,0.015
817,0.015
817.8,0.015
818.6,0.016
819.4,0.016
820.3,0.016
821.1,0.016
821.9,0.016
822.7,0.016
823.5,0.016
824.4,0.016
825.2,0.016
826,0.016
826.8,0.016
827.6,0.016
828.5,0.016
829.3,0.015
830.1,0.016
830.9,0.016
831.7,0.015
832.6,0.016
833.5,0.016
834.4,0.016
835.3,0.016
836.1,0.017
837,0.017
837.9,0.016
838.8,0.016
839.7,0.015
840.6,0.016
841.5,0.016
842.4,0.016
843.3,0.015
844.1,0.015
845,0.015
845.9,0.015
846.8,0.015
847.7,0.015
848.6,0.015
849.5,0.015
850.4,0.015
851.3,0.016
852.1,0.016
853,0.015
853.9,0.015
854.8,0.016
855.7,0.016
856.6,0.015
857.5,0.014
858.4,0.015
859.3,0.015
860.1,0.016
861,0.015
861.9,0.015
862.8,0.015
863.7,0.015
864.6,0.016
865.5,0.016
866.4,0.016
867.3,0.016
868.1,0.016
869,0.015
869.9,0.016
870.8,0.016
871.7,0.016
872.6,0.016
873.5,0.015
874.4,0.015
875.3,0.015
876.1,0.015
877,0.015
877.9,0.015
878.8,0.015
879.7,0.015
880.6,0.015
881.5,0.016
882.4,0.016
883.3,0.015
884.1,0.015
885,0.015
885.9,0.015
886.8,0.016
887.7,0.016
888.6,0.016
889.5,0.015
890.4,0.015
891.3,0.015
892.1,0.015
893,0.015
893.9,0.015
894.8,0.016
895.7,0.016
896.6,0.016
897.5,0.015
898.4,0.015
899.3,0.015
Vernier Format 2,
187_a3.txt 7/28/119 3:11:0,
Run 9,
Wavelength,Intensity
W,I
nm,rel
,
380.5,0.016
381.3,0.016
382.2,0.016
383,0.016
383.9,0.016
384.7,0.016
385.6,0.016
386.4,0.016
387.3,0.016
388.1,0.016
388.9,0.016
389.8,0.016
390.6,0.016
391.5,0.016
392.3,0.016
393.2,0.016
394,0.016
394.9,0.016
395.7,0.016
396.6,0.017
397.4,0.016
398.3,0.016
399.1,0.016
400,0.017
400.8,0.016
401.6,0.016
402.5,0.016
403.3,0.017
404.2,0.017
405,0.017
405.9,0.017
406.7,0.018
407.6,0.018
408.4,0.018
409.3,0.017
410.1,0.018
411,0.018
411.8,0.018
412.7,0.018
413.5,0.018
414.3,0.018
415.2,0.018
416,0.019
416.9,0.019
417.7,0.019
418.6,0.02
419.4,0.02
420.3,0.02
421.1,0.02
422,0.02
422.8,0.019
423.7,0.02
424.5,0.02
425.4,0.02
426.2,0.021
427,0.021
427.9,0.021
428.7,0.021
429.6,0.022
430.4,0.022
431.3,0.022
432.1,0.023
433,0.023
433.8,0.023
434.7,0.023
435.5,0.023
436.4,0.024
437.2,0.023
438.1,0.024
438.9,0.023
439.7,0.024
440.6,0.023
441.4,0.023
442.3,0.023
443.1,0.024
444,0.024
444.8,0.024
445.7,0.024
446.5,0.024
447.4,0.024
448.2,0.024
449.1,0.024
449.9,0.024
450.7,0.023
451.6,0.023
452.4,0.023
453.3,0.023
454.1,0.023
455,0.022
455.8,0.022
456.7,0.022
457.5,0.022
458.4,0.021
459.2,0.021
460.1,0.021
460.9,0.021
461.8,0.021
462.6,0.021
463.4,0.02
464.3,0.02
465.1,0.02
466,0.02
466.8,0.02
467.7,0.02
468.5,0.02
469.4,0.02
470.2,0.02
471.1,0.02
471.9,0.019
472.8,0.02
473.6,0.02
474.5,0.019
475.3,0.019
476.1,0.019
477,0.019
477.8,0.019
478.7,0.019
479.5,0.02
480.4,0.019
481.2,0.019
482.1,0.018
482.9,0.018
483.8,0.019
484.6,0.019
485.5,0.019
486.3,0.018
487.2,0.019
488,0.019
488.8,0.019
489.7,0.02
490.5,0.02
491.4,0.02
492.2,0.02
493.1,0.02
493.9,0.02
494.8,0.02
495.6,0.02
496.5,0.021
497.3,0.021
498.2,0.021
499,0.02
499.9,0.02
500.7,0.021
501.5,0.021
502.4,0.021
503.2,0.021
504.1,0.022
504.9,0.022
505.8,0.022
506.6,0.022
507.5,0.022
508.3,0.022
509.2,0.022
510,0.023
510.9,0.023
511.7,0.023
512.5,0.023
513.3,0.023
514.1,0.023
514.9,0.023
515.7,0.023
516.5,0.023
517.3,0.024
518,0.024
518.8,0.024
519.6,0.024
520.4,0.023
521.2,0.023
522,0.022
522.8,0.022
523.6,0.023
