Vernier Format 2,
187_a3.txt 7/28/119 3:10:43,
Run 1,
Wavelength,Intensity
W,I
nm,rel
,
701.8,0.017
702.5,0.017
703.3,0.018
704.1,0.018
704.8,0.018
705.6,0.017
706.4,0.017
707.2,0.017
708,0.017
708.8,0.017
709.6,0.018
710.4,0.018
711.2,0.017
712.1,0.017
712.9,0.017
713.7,0.018
714.5,0.017
715.3,0.017
716.2,0.016
717,0.016
717.8,0.016
718.6,0.017
719.4,0.017
720.3,0.017
721.1,0.017
721.9,0.017
722.7,0.017
723.5,0.016
724.4,0.016
725.2,0.016
726,0.017
726.8,0.017
727.6,0.017
728.5,0.016
729.3,0.016
730.1,0.016
730.9,0.017
731.7,0.017
732.6,0.017
733.4,0.017
734.2,0.017
735,0.017
735.8,0.017
736.7,0.016
737.5,0.015
738.3,0.015
739.1,0.016
739.9,0.016
740.8,0.017
741.6,0.016
742.4,0.017
743.2,0.016
744,0.017
744.9,0.016
745.7,0.017
746.5,0.016
747.3,0.017
748.1,0.016
748.9,0.017
749.8,0.017
750.6,0.017
751.4,0.017
752.2,0.016
753,0.017
753.9,0.017
754.7,0.017
755.5,0.017
756.3,0.017
757.1,0.017
758,0.017
758.8,0.017
759.6,0.016
760.4,0.017
761.2,0.016
762.1,0.016
762.9,0.016
763.7,0.016
764.5,0.016
765.3,0.016
766.2,0.016
767,0.016
767.8,0.016
768.6,0.016
769.4,0.016
770.3,0.016
771.1,0.016
771.9,0.015
772.7,0.015
773.5,0.016
774.4,0.016
775.2,0.015
776,0.016
776.8,0.015
777.6,0.016
778.5,0.015
779.3,0.016
780.1,0.016
780.9,0.016
781.7,0.016
782.6,0.016
783.4,0.017
784.2,0.017
785,0.016
785.8,0.016
786.7,0.016
787.5,0.016
788.3,0.016
789.1,0.017
789.9,0.017
790.7,0.017
791.6,0.017
792.4,0.017
793.2,0.017
794,0.016
794.8,0.015
795.7,0.015
796.5,0.015
797.3,0.016
798.1,0.016
798.9,0.016
799.8,0.016
800.6,0.016
801.4,0.015
802.2,0.016
803,0.016
803.9,0.017
804.7,0.017
805.5,0.017
806.3,0.016
807.1,0.015
808,0.016
808.8,0.016
809.6,0.016
810.4,0.015
811.2,0.015
812.1,0.015
812.9,0.015
813.7,0.015
814.5,0.015
815.3,0.015
816.2,0.016
817,0.016
817.8,0.016
818.6,0.016
819.4,0.015
820.3,0.015
821.1,0.015
821.9,0.016
822.7,0.015
823.5,0.016
824.4,0.015
825.2,0.016
826,0.016
826.8,0.016
827.6,0.016
828.5,0.016
829.3,0.016
830.1,0.015
830.9,0.015
831.7,0.016
832.6,0.016
833.5,0.016
834.4,0.016
835.3,0.016
836.1,0.016
837,0.017
837.9,0.016
838.8,0.016
839.7,0.015
840.6,0.016
841.5,0.016
842.4,0.015
843.3,0.015
844.1,0.016
845,0.017
845.9,0.017
846.8,0.016
847.7,0.016
848.6,0.015
849.5,0.016
850.4,0.016
851.3,0.016
852.1,0.015
853,0.015
853.9,0.016
854.8,0.016
855.7,0.016
856.6,0.015
857.5,0.015
858.4,0.015
859.3,0.015
860.1,0.015
861,0.016
861.9,0.015
862.8,0.016
863.7,0.015
864.6,0.016
865.5,0.016
866.4,0.016
867.3,0.015
868.1,0.015
869,0.015
869.9,0.015
870.8,0.015
871.7,0.015
872.6,0.015
873.5,0.015
874.4,0.015
875.3,0.015
876.1,0.015
877,0.015
877.9,0.016
878.8,0.016
879.7,0.016
880.6,0.016
881.5,0.016
882.4,0.015
883.3,0.015
884.1,0.015
885,0.016
885.9,0.016
886.8,0.016
887.7,0.015
888.6,0.015
889.5,0.015
890.4,0.015
891.3,0.016
892.1,0.015
893,0.016
893.9,0.016
894.8,0.016
895.7,0.016
896.6,0.016
897.5,0.016
898.4,0.015
899.3,0.015
Vernier Format 2,
187_a3.txt 7/28/119 3:10:43,
Run 2,
Wavelength,Intensity
W,I
nm,rel
,
380.5,0.015
381.3,0.016
382.2,0.015
383,0.016
383.9,0.015
384.7,0.016
385.6,0.016
386.4,0.016
387.3,0.015
388.1,0.015
388.9,0.015
389.8,0.016
390.6,0.016
391.5,0.016
392.3,0.015
393.2,0.016
394,0.016
394.9,0.016
395.7,0.015
396.6,0.015
397.4,0.015
398.3,0.016
399.1,0.016
400,0.016
400.8,0.016
401.6,0.015
402.5,0.015
403.3,0.015
404.2,0.015
405,0.015
405.9,0.016
406.7,0.017
407.6,0.018
408.4,0.017
409.3,0.017
410.1,0.016
411,0.016
411.8,0.016
412.7,0.016
413.5,0.017
414.3,0.017
415.2,0.017
416,0.017
416.9,0.017
417.7,0.018
418.6,0.017
419.4,0.017
420.3,0.017
421.1,0.018
422,0.017
422.8,0.017
423.7,0.017
424.5,0.017
425.4,0.017
426.2,0.017
427,0.018
427.9,0.018
428.7,0.019
429.6,0.018
430.4,0.018
431.3,0.018
432.1,0.019
433,0.019
433.8,0.019
434.7,0.019
435.5,0.02
436.4,0.02
437.2,0.02
438.1,0.02
438.9,0.019
439.7,0.019
440.6,0.019
441.4,0.019
442.3,0.019
443.1,0.019
444,0.02
444.8,0.02
445.7,0.02
446.5,0.019
447.4,0.019
448.2,0.019
449.1,0.019
449.9,0.02
450.7,0.02
451.6,0.02
452.4,0.019
453.3,0.019
454.1,0.019
455,0.019
455.8,0.019
456.7,0.019
457.5,0.019
458.4,0.019
459.2,0.019
460.1,0.019
460.9,0.019
461.8,0.019
462.6,0.018
463.4,0.018
464.3,0.018
465.1,0.018
466,0.018
466.8,0.018
467.7,0.018
468.5,0.018
469.4,0.018
470.2,0.018
471.1,0.017
471.9,0.017
472.8,0.018
473.6,0.018
474.5,0.018
475.3,0.018
476.1,0.017
477,0.019
477.8,0.018
478.7,0.018
479.5,0.017
480.4,0.017
481.2,0.018
482.1,0.018
482.9,0.018
483.8,0.018
484.6,0.018
485.5,0.018
486.3,0.018
487.2,0.018
488,0.018
488.8,0.018
489.7,0.019
490.5,0.02
491.4,0.02
492.2,0.02
493.1,0.02
493.9,0.02
494.8,0.02
495.6,0.02
496.5,0.021
497.3,0.021
498.2,0.021
499,0.021
499.9,0.022
500.7,0.022
501.5,0.023
502.4,0.023
503.2,0.023
504.1,0.023
504.9,0.024
505.8,0.024
506.6,0.024
507.5,0.025
508.3,0.025
509.2,0.026
510,0.026
510.9,0.026
511.7,0.027
512.5,0.027
513.3,0.027
514.1,0.027
514.9,0.028
515.7,0.029
516.5,0.028
517.3,0.028
518,0.027
518.8,0.027
519.6,0.027
520.4,0.028
521.2,0.028
522,0.028
522.8,0.029
523.6,0.029
524.3,0.029
525.1,0.028
525.9,0.029
526.7,0.029
527.5,0.03
528.3,0.03
529.1,0.029
529.9,0.029
530.6,0.029
531.4,0.029
532.2,0.029
533,0.029
533.8,0.028
534.6,0.029
535.4,0.029
536.2,0.03
536.9,0.03
537.7,0.03
538.5,0.031
539.3,0.031
540.1,0.031
540.9,0.031
541.7,0.032
542.5,0.032
543.2,0.032
544,0.033
544.8,0.033
545.6,0.033
546.4,0.033
547.2,0.033
548,0.032
548.8,0.033
549.5,0.033
550.3,0.034
551.1,0.035
551.9,0.034
552.7,0.035
553.5,0.034
554.3,0.035
555.1,0.034
555.8,0.034
556.6,0.034
557.4,0.034
558.2,0.033
559,0.033
559.8,0.033
560.6,0.034
561.4,0.033
562.1,0.032
562.9,0.032
563.7,0.032
564.5,0.031
565.3,0.031
566.1,0.031
566.9,0.031
567.7,0.03
568.4,0.03
569.2,0.031
570,0.031
570.8,0.03
571.6,0.029
572.4,0.03
573.2,0.03
574,0.03
574.7,0.029
575.5,0.029
576.3,0.029
577.1,0.029
