"Latest: Wavelength (nm)","Latest: Intensity (rel)"
380.2,0.0198485542077
381,0.0202236718293
381.8,0.0203762620483
382.7,0.0207187423175
383.5,0.0201287268042
384.3,0.0200354772259
385.2,0.0197735306833
386,0.0198226986428
386.8,0.0194929342251
387.6,0.0195480362487
388.5,0.0194853047142
389.3,0.0202626671075
390.1,0.0204576434984
391,0.020870484813
391.8,0.0209408458584
392.6,0.0205161364157
393.5,0.0207975805973
394.3,0.0196650220832
395.1,0.0193979892
395.9,0.019314912303
396.8,0.0206729652518
397.6,0.0215079728389
398.4,0.0212358536151
399.3,0.0205381772251
400.1,0.019805744174
400.9,0.0195268431627
401.8,0.020213499148
402.6,0.0208001237676
403.4,0.0209035460271
404.2,0.0203457440045
405.1,0.0204957910531
405.9,0.0202626671075
406.7,0.0204779888609
407.6,0.0204203436671
408.4,0.0211790561447
409.2,0.0209137187084
410.1,0.0208976119631
410.9,0.0205364817782
411.7,0.0210705475446
412.5,0.0211985537838
413.4,0.0211112382696
414.2,0.021119715504
415,0.0206644880174
415.9,0.0210400295008
416.7,0.0210891974602
417.5,0.0216419131423
418.4,0.021521536414
419.2,0.0212087264651
420,0.0207348490628
420.8,0.0208145350661
421.7,0.0209493230928
422.5,0.0216953197189
423.3,0.0219309868349
424.2,0.022143765418
425,0.022157328993
425.8,0.0219648957724
426.7,0.0217105787408
427.5,0.0216842993142
428.3,0.0217487262955
429.1,0.0219335300052
430,0.0218886006629
430.8,0.0223090714885
431.6,0.0220233886897
432.5,0.021755508083
433.3,0.0215062773921
434.1,0.022261598976
435,0.022205649229
435.8,0.0226006883514
436.6,0.0220844247773
437.4,0.0225667794139
438.3,0.0224252095996
439.1,0.0224879411341
439.9,0.0225820384358
440.8,0.0229228232581
441.6,0.023651017692
442.4,0.0235552249434
443.3,0.0233839848088
444.1,0.0231237337131
444.9,0.0236357586701
445.7,0.0238765121267
446.6,0.0237366377593
447.4,0.0234738434933
448.2,0.023428914151
449.1,0.0236077837966
