"Latest: Wavelength (nm)","Latest: Intensity (rel)"
380.2,0.0278093130897
381,0.0281844307113
381.8,0.0282480099692
382.7,0.0292568008613
383.5,0.0292796893941
384.3,0.0299044615685
385.2,0.0309666590372
386,0.0327027966396
386.8,0.0340371133321
387.6,0.035242576062
388.5,0.0365116180497
389.3,0.0385953222621
390.1,0.0404933750413
391,0.0430475657621
391.8,0.0460603748633
392.6,0.0485696362419
393.5,0.0511874062206
394.3,0.0520936225766
395.1,0.052890482609
395.9,0.0546071225723
396.8,0.056167781423
397.6,0.0585244525826
398.4,0.0593069013165
399.3,0.060420809915
400.1,0.0602046404381
400.9,0.0607446402686
401.8,0.0601919245865
402.6,0.0601961632037
403.4,0.0603665556149
404.2,0.0617017200309
405.1,0.0641295999593
405.9,0.0668185787069
406.7,0.0692083110806
407.6,0.0721575409238
408.4,0.0754848554208
409.2,0.0793928604732
410.1,0.0829592329798
410.9,0.0841630002628
411.7,0.0879311309478
412.5,0.0897774725973
413.4,0.0929038766393
414.2,0.0956649118791
415,0.0985759941677
415.9,0.102434831261
416.7,0.103567389775
417.5,0.105069555708
418.4,0.106909963294
419.2,0.110833227368
420,0.121712062257
420.8,0.141744614837
421.7,0.169695752058
422.5,0.200003560438
423.3,0.221236489408
424.2,0.239805023609
425,0.251660435899
425.8,0.257528377542
426.7,0.258382882768
427.5,0.255832930665
428.3,0.249994659342
429.1,0.244564990717
430,0.234199876232
430.8,0.226839093614
431.6,0.228849893611
432.5,0.244162322084
433.3,0.265516475505
434.1,0.272914557955
435,0.280135466206
435.8,0.301723591296
436.6,0.318528860744
437.4,0.32930088248
438.3,0.31969871909
439.1,0.322249518917
439.9,0.300972508329
440.8,0.29615065741
441.6,0.263829505862
442.4,0.239564270153
443.3,0.196876308673
444.1,0.176775938218
444.9,0.169443130473
445.7,0.167432330477
446.6,0.164244890347
447.4,0.163448030315
448.2,0.16217474971
449.1,0.162300212779
449.9,0.161418580402
450.7,0.161483007384
451.6,0.160721751736
452.4,0.160664954265
453.2,0.160428439426
454,0.158983918686
454.9,0.156578079567
455.7,0.15455965006
456.5,0.153659367768
457.4,0.151366275866
458.2,0.149630138264
459,0.14769393793
459.9,0.146446936751
460.7,0.145284707917
461.5,0.143769826132
462.3,0.144308130516
463.2,0.144091961039
464,0.145761128489
464.8,0.146468977561
465.7,0.147927909599
466.5,0.14909437705
467.3,0.151412900655
468.2,0.152863355459
469,0.154919932521
469.8,0.15777930368
470.6,0.160379271466
471.5,0.163498045997
472.3,0.167717165552
473.1,0.171687054415
474,0.174910946653
474.8,0.1764461738
475.6,0.178335749345
476.5,0.179531039394
477.3,0.180450819325
478.1,0.180761933827
478.9,0.180487271433
479.8,0.179302154065
480.6,0.179338606173
481.4,0.179517475819
482.3,0.179885387791
483.1,0.179567491502
483.9,0.177217602129
484.8,0.175988403143
485.6,0.172316065207
486.4,0.170485830303
487.2,0.16732975594
488.1,0.163704890517
488.9,0.161259208396
489.7,0.156900214474
490.6,0.15432059205
491.4,0.149727626459
492.2,0.146346057662
493.1,0.143579936082
493.9,0.140674787857
494.7,0.13868857184
495.5,0.136415825301
496.4,0.135268855489
497.2,0.13267566949
498,0.131637208277
498.9,0.130668260387
499.7,0.131137899172
500.5,0.131745716877
501.4,0.132178903555
502.2,0.132968981799
503,0.13372599883
503.8,0.135007756669
504.7,0.136385307257
505.5,0.1397287285
506.3,0.141976043336
507.2,0.145641599485
508,0.147613404203
508.8,0.151957986826
509.7,0.154579995422
510.5,0.157720810763
511.3,0.161834812611
512.2,0.165535973144
513,0.169259174487
513.8,0.172818765206
514.6,0.176615718488
515.4,0.18089333096
516.2,0.18358061426
517,0.188588964336
517.8,0.192875054042
518.7,0.197988521825
519.5,0.201458253859
520.3,0.205289116079
521.1,0.209090307978
521.9,0.21219467121
522.7,0.215805973059
523.5,0.218542424319
524.3,0.220197180472
525.2,0.220840602562
526,0.22176716428
526.8,0.223554165289
527.6,0.223585531056
528.4,0.22270389868
529.2,0.222342768495
530,0.222466536117
530.8,0.223357493451
531.7,0.223705907785
532.5,0.225527665454
533.3,0.225949831727
534.1,0.228670176242
534.9,0.233650551444
535.7,0.244275917025
536.5,0.265528343633
537.3,0.293276874952
538.2,0.327424022787
539,0.360696320033
539.8,0.399661080169
540.6,0.478697727253
541.4,0.638449513831
542.2,0.820779566474
543,0.951158583624
543.8,0.884486830616
544.7,0.690846451854
545.5,0.46966184312
546.3,0.34707764299
547.1,0.313298407128
547.9,0.306116494155
548.7,0.306956588083
549.5,0.308202741538
550.4,0.312292159406
551.2,0.317574324152
552,0.324518874562
552.8,0.332180599001
553.6,0.33951679764
554.4,0.349615726965
555.2,0.361223604011
556,0.373154463688
556.9,0.385258258946
557.7,0.397705382196
558.5,0.410874765816
559.3,0.425524274561
560.1,0.439966091062
560.9,0.456726431169
561.7,0.473415562507
562.5,0.491510219306
563.4,0.505829963633
564.2,0.519132439833
565,0.534121037953
565.8,0.550917830167
566.6,0.567294151556
567.4,0.578416283072
568.2,0.591244034146
569,0.60570365284
569.9,0.624460381645
570.7,0.643176419725
571.5,0.667740054085
572.3,0.708352788586
573.1,0.767226333681
573.9,0.864211829133
574.7,0.939199749074
575.5,0.989741868213
576.4,0.989741868213
577.2,0.989741868213
578,0.966265015301
578.8,0.88379508829
579.6,0.782455685257
580.4,0.698387799564
581.2,0.670409535193
582.1,0.655945677882
582.9,0.646284173851
583.7,0.636105558523
584.5,0.632239939642
585.3,0.62490289328
586.1,0.618166035113
586.9,0.606180073413
587.7,0.596519417105
588.5,0.58655612353
589.2,0.576942939735
590,0.565954748523
590.7,0.55582191026
591.5,0.544263201173
592.2,0.534894161729
593,0.522777650619
593.7,0.512286225342
594.5,0.500234988937
595.2,0.49095156956
596,0.48162322084
596.7,0.472170256775
597.5,0.462572332002
598.2,0.452524266083
599,0.442795791901
599.7,0.432369641328
600.5,0.423648262591
601.2,0.41460559667
602,0.405696023329
602.7,0.39741800395
603.4,0.39231979519
604.2,0.387647991319
604.9,0.38438171291
605.7,0.37909615727
606.4,0.37703534159
607.2,0.37464645694
607.9,0.376143536533
608.7,0.383073675644
609.4,0.393681239033
610.2,0.396900892653
610.9,0.391333892831
611.7,0.377547366547
612.4,0.366587997932
613.2,0.352792994414
613.9,0.340852809779
614.7,0.329918025143
615.4,0.322118969507
616.2,0.316308673059
616.9,0.308478251655
617.7,0.302355145257
618.4,0.29626425235
619.1,0.292086671244
619.9,0.286328933649
620.6,0.28057034833
621.4,0.275394149013
622.1,0.270709629291
622.9,0.266098013784
623.6,0.26164237939
624.4,0.255669320041
625.1,0.249552995431
625.9,0.24185142799
626.6,0.236485338623
627.4,0.232509515696
628.1,0.228538779109
628.9,0.22498173156
629.6,0.219948797504
630.4,0.215322770699
631.1,0.2104220815
631.9,0.205480701576
632.6,0.202177971059
633.4,0.196293074947
634.1,0.190296279342
634.8,0.18473436586
635.6,0.181192577334
636.3,0.177589752719
637.1,0.172916253401
637.8,0.16652357095
638.6,0.162042504853
639.3,0.157261344659
640.1,0.153727185643
640.8,0.150181158499
641.6,0.145088883803
642.3,0.140107660877
643.1,0.134493188542
643.8,0.130307977925
644.6,0.126013410985
645.3,0.121624746743
646.1,0.116377338657
646.8,0.111809804769
647.6,0.108179005281
648.3,0.105348456719
649.1,0.103135898544
649.8,0.0989040631384
650.5,0.0955131693836
651.3,0.0918204860846
652,0.0895977552283
652.8,0.0866705661945
653.5,0.083676407009
654.3,0.0806551206734
655,0.0781424684011
655.8,0.0752203657079
656.5,0.0732163474988
657.3,0.0709122351924
658,0.0698322355315
658.8,0.0674077464968
659.5,0.0660106982698
660.3,0.0639303849512
661,0.0624502598272
661.8,0.0611964768614
662.5,0.0606361316684
663.3,0.0589525529191
664,0.0568883463459
664.8,0.0552556310029
665.5,0.0540467773793
666.2,0.0536025702975
667,0.0528972643965
667.8,0.051990200317
668.5,0.0505244864915
669.2,0.0492054288209
670,0.0483856802557
670.7,0.0478329645736
671.5,0.0473887574918
672.2,0.0466122428219
672.9,0.0459764502429
673.7,0.0447124945958
674.4,0.0433790256267
675.2,0.0429517730136
675.9,0.0423015691361
676.7,0.0431213177013
677.4,0.0429712706527
678.1,0.0426381153413
678.9,0.0422837669439
679.6,0.0418675347355
680.4,0.0415954155116
681.1,0.0405713655977
681.9,0.0396507379433
682.6,0.0402246467113
683.3,0.0407383671151
684.1,0.0410901723422
684.8,0.0402517738613
685.6,0.0394006595288
686.3,0.039681255987
687.1,0.0400525588532
687.8,0.0407892305214
688.5,0.0418734687995
689.3,0.0423676915643
690,0.0424567025254
690.8,0.0411393403016
691.5,0.0397473784153
692.3,0.0389530615532
693,0.0377560760577
693.7,0.0382494510991
694.5,0.0383452438476
695.2,0.0384486661072
696,0.0375365156871
696.7,0.0363463119792
697.5,0.0355113043921
698.2,0.0347941303629
698.9,0.034170205912
699.7,0.0334928748845
700.4,0.032199248917
701.2,0.03190169799
701.9,0.0313091393064
702.7,0.0318415096259
703.4,0.0316439900647
704.1,0.0323476005188
704.9,0.032697710299
705.6,0.0327621372803
706.4,0.0326324355942
707.1,0.0320305519527
707.9,0.03123114875
708.7,0.0303876639285
709.5,0.0295568949586
710.2,0.0294331273365
